SYS,SID,RAW.SCR,Z.SCR,N,HIT
kslab,1039,27.875,-0.169428789459538,24,1
kslab,753,43.75,0.236745728221533,24,1
kslab,468,8.125,-0.678701661095823,24,1
kslab,710,1.375,-0.86668134080364,24,1
kslab,420,1.625,-0.857255843229454,24,1
kslab,1166,12.7083333333333,-0.565603926148636,24,1
kslab,766,1.125,-0.87305152477892,24,1
kslab,1789,1.66666666666667,-0.852345694734016,24,1
kslab,1026,47.4318181818182,0.447851946495387,44,5
kslab,1216,0.772727272727273,-0.791242837652405,22,5
kslab,126,0.909090909090909,-0.785140990444697,22,5
kslab,19,59,0.642066653938446,22,5
kslab,458,1.95454545454545,-0.719999333856773,22,5
kslab,1098,2.22727272727273,-0.754208572931181,22,5
kslab,24,12.1818181818182,-0.512028111534789,22,5
kslab,32,6.95454545454545,-0.599056965763481,22,5
kslab,1183,0.181818181818182,-0.807408044114149,22,5
kslab,1629,10.4,-0.726633086187623,20,10
kslab,1860,21,-0.484056271063454,20,10
kslab,382,11.725,-0.734122634769919,40,10
kslab,433,11,-0.763426473322296,20,10
kslab,1665,15.925,-0.674735768128304,40,10
kslab,399,17.75,-0.593235627504169,20,10
kslab,1489,34.3,-0.152003645613552,20,10
kslab,1670,13.75,-0.675933019602253,40,10
kslab,1691,23.25,-0.421144867717766,20,10
kslab,772,13.15,-0.682464998101337,20,10
kslab,1406,3.73913043478261,-0.916737480726608,23,19
kslab,270,9.60869565217391,-0.740794843540533,23,19
kslab,496,22,-0.398026692860838,23,19
kslab,623,3.26315789473684,-0.902885634050501,19,0
kslab,1807,44.2368421052632,0.142455309590655,38,0
kslab,1499,4.47368421052632,-0.856278562386271,19,0
kslab,146,10.7894736842105,-0.670504779230534,19,0
kslab,492,9.57894736842105,-0.731745963573761,19,0
kslab,586,21.5263157894737,-0.432648383361397,19,0
kslab,1782,38.2105263157895,0.003769933829771,19,0
kslab,917,8.31578947368421,-0.754641611536637,19,0
kslab,1495,6.21052631578947,-0.820385226806569,19,0
kslab,1269,3.57894736842105,-0.894756045463813,19,0
kslab,655,17.4210526315789,-0.503341173479213,19,0
kslab,1095,15.3333333333333,-0.562345835795821,27,2
kslab,1259,38.2222222222222,0.027233339924688,27,2
kslab,1685,46.4444444444444,0.20711591297817,27,2
kslab,718,66.1111111111111,0.760929516041223,27,2
kslab,1762,3.36363636363636,-0.805554412109849,22,3
kslab,472,2.22727272727273,-0.8395452986167,22,3
kslab,1523,1.09090909090909,-0.869348008674091,22,3
kslab,998,2.86363636363636,-0.819019845465784,22,3
kslab,1251,2.59090909090909,-0.82934722419194,22,3
kslab,1320,77.7727272727273,0.997828060313691,22,3
kslab,1600,1.77272727272727,-0.850156874088188,22,3
kslab,205,9.59090909090909,-0.657495984621807,22,3
kslab,1545,33.2727272727273,-0.061578738827296,22,3
kslab,1780,27.7727272727273,-0.225042249744633,22,3
kslab,1222,8.90909090909091,-0.672468407627065,22,3
kslab,767,12.8181818181818,-0.570163716088576,22,3
kslab,1650,2.13636363636364,-0.845797526843134,22,3
kslab,1594,69.3684210526316,0.862776104690437,19,4
kslab,1716,27.6315789473684,-0.204205727085747,19,4
kslab,778,13.0263157894737,-0.608335214559722,38,4
kslab,813,4.63157894736842,-0.82804686470905,19,4
kslab,1560,17.5789473684211,-0.467086371133927,19,4
kslab,1458,8.47368421052632,-0.701677656273485,19,4
kslab,1212,7.73684210526316,-0.728395501052248,19,4
kslab,94,13.5789473684211,-0.592966337449432,19,4
kslab,1688,3.21052631578947,-0.862329682157472,19,4
kslab,1126,9.42105263157895,-0.680922892917214,19,4
kslab,1143,14.8947368421053,-0.552370833580787,19,4
kslab,618,15.7894736842105,-0.490681814496056,19,4
kslab,1416,23.4285714285714,-0.356193388125915,21,6
kslab,1806,43.1904761904762,0.16309256148986,21,6
kslab,1402,11.3333333333333,-0.661642599297276,21,6
kslab,1871,69.7619047619048,0.772825950573439,21,6
kslab,823,59.5476190476191,0.594299759976865,42,6
kslab,470,3.23809523809524,-0.919148878899693,21,6
kslab,184,39.1428571428571,0.036310794944714,21,6
kslab,628,14.5714285714286,-0.593399008476187,21,6
kslab,1220,42.2857142857143,0.038669911082253,21,6
kslab,388,60.1428571428571,0.518650319452115,21,6
kslab,168,7.14285714285714,-0.778686941107985,21,6
kslab,1309,27.2857142857143,-0.323323204431523,21,6
kslab,1341,7.38095238095238,-0.769380066489775,21,6
kslab,339,69.1071428571429,0.858855618657084,28,7
kslab,986,46.6071428571429,0.258719885662121,28,7
kslab,593,56.7142857142857,0.547719536864117,28,7
kslab,867,4.92857142857143,-0.790817600202294,28,7
kslab,209,4.57142857142857,-0.798547840581859,28,7
kslab,385,30.75,-0.146717640275246,28,7
kslab,1200,2.17857142857143,-0.864966026471608,28,8
kslab,225,27.9285714285714,-0.145649000727272,28,8
kslab,1556,3.92857142857143,-0.82408624430796,28,8
