SYS,SID,RAW.SCR,Z.SCR,N,HIT,RAW.Z.SCR
HUMAN-B,864,84.2857142857143,0.850052994614343,21,3,1.07237398156144
HUMAN-B,1336,85.8571428571429,0.863615440693222,21,3,1.10938728526925
HUMAN-B,15,88.9047619047619,0.895971407851594,21,3,1.19769003185548
HUMAN-B,1941,78.4285714285714,0.804037461822564,21,3,0.946792882061174
HUMAN-B,27,91.5238095238095,0.913126326346944,21,3,1.24450756054154
HUMAN-B,946,91.6666666666667,0.936210676233771,21,3,1.30750711447813
HUMAN-B,1083,83.9047619047619,0.8381133563974,21,3,1.03978948663222
HUMAN-B,1446,82.5238095238095,0.838804901095443,21,3,1.04167678290513
HUMAN-B,1346,96.1428571428571,0.978162686603325,21,3,1.42199844531406
HUMAN-B,1546,93.8571428571429,0.950345228928551,21,3,1.34608175570606
HUMAN-B,1810,91.4285714285714,0.917421873541161,21,5,1.25623054856052
HUMAN-B,1306,84.0476190476191,0.838525824821783,21,5,1.04091515518587
HUMAN-B,1157,90.8095238095238,0.927560281574448,21,5,1.28389930193047
HUMAN-B,1585,97.0476190476191,0.975452002289637,21,5,1.41460071033506
HUMAN-B,1190,95.8095238095238,0.96199702222058,21,5,1.37788069236912
HUMAN-B,2034,87.1904761904762,0.865462324232171,21,5,1.11442761950855
HUMAN-B,1030,85,0.845165284871731,21,5,1.05903492132948
HUMAN-B,1343,92.8095238095238,0.919567225463535,21,5,1.26208543357176
HUMAN-B,1141,84.2380952380952,0.846596905969462,21,5,1.06294196185717
HUMAN-B,1247,88.3809523809524,0.885355905516592,21,5,1.16871923929703
HUMAN-B,88,90.2,0.923567789194086,20,8,1.27300338152157
HUMAN-B,1845,75.6,0.766156363425783,20,8,0.843411486729479
HUMAN-B,1653,94.65,0.956646591913418,20,8,1.36327882034879
HUMAN-B,491,86.6,0.866242951421187,20,8,1.11655803101851
HUMAN-B,104,92.7,0.937344291411585,20,8,1.31060086634414
HUMAN-B,294,79.35,0.788579992305511,20,8,0.904607865401102
HUMAN-B,444,70.25,0.714347599961728,20,8,0.70202006768396
HUMAN-B,128,80.25,0.809904867458627,20,8,0.962805632675735
HUMAN-B,852,75.25,0.761955077039802,20,8,0.831945746105451
HUMAN-B,1940,92.5,0.942709456169272,20,8,1.32524295018829
HUMAN-B,1364,82.9,0.818097454070648,20,9,0.985164040197479
HUMAN-B,68,87.95,0.847497553315559,20,9,1.06539992066201
HUMAN-B,709,85.4,0.845203102028308,20,9,1.05913812822104
HUMAN-B,207,89.15,0.876320688196262,20,9,1.14406120631401
HUMAN-B,764,94,0.932465485034027,20,9,1.29728610430683
HUMAN-B,1196,82.55,0.839368154265605,20,9,1.04321395846552
HUMAN-B,168,86.55,0.858621252868528,20,9,1.09575763545135
HUMAN-B,348,92.4,0.904556303969545,20,9,1.22111909217879
HUMAN-B,470,91.5,0.891579622903839,20,9,1.18570440115544
HUMAN-B,276,81.9,0.823503869844435,20,9,0.999918702287344
HUMAN-B,828,68.3125,0.667725844639542,16,11,0.574784524840514
HUMAN-B,722,91.625,0.901525071679279,16,11,1.2128465489579
HUMAN-B,833,97.375,0.960375545299201,16,11,1.37345551586356
HUMAN-B,1315,89.1875,0.870833429127726,16,11,1.12908591459702
HUMAN-B,312,85.6875,0.828523790949517,16,11,1.01361858086168
HUMAN-B,687,79.9375,0.789346479552894,16,11,0.906699687562868
HUMAN-B,1166,87.8125,0.853127130179982,16,11,1.08076361221274
HUMAN-B,1032,92.875,0.913288470146444,16,11,1.24495006756869
HUMAN-B,577,56.4375,0.569595349311497,16,11,0.306976357681721
HUMAN-B,1682,95.1875,0.936515417140351,16,11,1.30833878360786
HUMAN-B,875,93.4705882352941,0.9216800615223,17,13,1.26785157946263
HUMAN-B,885,69.8823529411765,0.697392533808111,17,13,0.655747956496944
HUMAN-B,328,85.4117647058823,0.825155960192723,17,13,1.00442742596877
HUMAN-B,617,93.7058823529412,0.928903119770341,17,13,1.28756404483053
HUMAN-B,256,83.9411764705882,0.811657596106826,17,13,0.967589008579746
HUMAN-B,51,92.5882352941177,0.927004714928298,17,13,1.28238310368096
HUMAN-B,135,77.5294117647059,0.771890207241614,17,13,0.859059733464189
HUMAN-B,565,92,0.912555778304581,17,13,1.24295047652815
HUMAN-B,1688,89.4117647058823,0.865832172938437,17,13,1.11543697448857
HUMAN-B,1453,91.7058823529412,0.91013658719044,17,13,1.23634825633025
HUMAN-B,1573,81.0526315789474,0.820770707957471,19,14,0.99245962370989
HUMAN-B,1868,88.1578947368421,0.889008910883784,19,14,1.17868866489443
HUMAN-B,1471,91.5789473684211,0.919020283353836,19,14,1.2605927725651
HUMAN-B,1559,84.7894736842105,0.863513684598914,19,14,1.10910958247133
HUMAN-B,288,89.7368421052632,0.903201965462876,19,14,1.21742296375336
HUMAN-B,1493,92.8421052631579,0.922766100566547,19,14,1.27081549118987
HUMAN-B,691,76.4736842105263,0.794009912189193,19,14,0.919426672612935
HUMAN-B,1400,86.2105263157895,0.876206669678846,19,14,1.14375003810815
HUMAN-B,346,87.1578947368421,0.885456724443588,19,14,1.16899438446942
HUMAN-B,907,88.3157894736842,0.899386479707681,19,14,1.20701011254433
HUMAN-B,598,93.1176470588235,0.972349703371654,17,19,1.40613421901219
HUMAN-B,386,85.7058823529412,0.911104136359962,17,19,1.23898879705981
HUMAN-B,908,79.1176470588235,0.82868372482146,17,19,1.0140550567703
