SYS,SID,RAW.SCR,Z.SCR1,N,Z.SCR
SHEF-UETlahore,1790,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,86,90,0.832470476948192,1,0.72502186465827
SHEF-UETlahore,1505,74,0.450658017978117,1,0.659236964053926
SHEF-UETlahore,819,74,0.450658017978117,1,0.659236964053926
SHEF-UETlahore,760,0,-1.31522460475848,1,0.354981798758835
SHEF-UETlahore,115,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,207,60,0.116572116379301,1,0.601675176025125
SHEF-UETlahore,1009,0,-1.31522460475848,1,0.354981798758835
SHEF-UETlahore,362,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,450,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,1745,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,980,0,-1.31522460475848,1,0.354981798758835
SHEF-UETlahore,289,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,41,0,-1.31522460475848,1,0.354981798758835
SHEF-UETlahore,418,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,237,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,105,100,1.07110326380449,1,0.766137427535985
SHEF-UETlahore,1358,85,0.887998578561554,2,0.73458915498514
SHEF-UETlahore,1653,0,-1.19525292010514,2,0.375652484496919
SHEF-UETlahore,1010,25,-0.56804625023889,2,0.483717916795363
SHEF-UETlahore,1308,67,0.434585658521606,2,0.656467754866316
SHEF-UETlahore,80,72.5,0.575611322119255,2,0.680765964745214
SHEF-UETlahore,1371,44,-0.091369181140535,2,0.565847645342181
SHEF-UETlahore,122,92.5,1.07372842253977,4,0.766589732856081
SHEF-UETlahore,1313,85.5,0.891422123277664,2,0.735179019311389
SHEF-UETlahore,811,10,-0.949234566121961,2,0.418040553779112
SHEF-UETlahore,57,97.5,1.19308936405888,2,0.78715518976929
SHEF-UETlahore,1837,100,1.25276983481843,2,0.797437918225894
SHEF-UETlahore,1163,60.5,0.287320944737155,2,0.631094579289569
SHEF-UETlahore,1091,26.5,-0.656562495402897,2,0.468466889090056
SHEF-UETlahore,55,58,0.357935239964387,2,0.643261166009394
SHEF-UETlahore,329,88.5,1.36150722779266,2,0.816172976291
SHEF-UETlahore,76,36,-0.352089368521574,2,0.520926503536926
SHEF-UETlahore,1475,98,1.66809276020305,2,0.86899655054196
SHEF-UETlahore,72,14,-1.05718503077306,2,0.399441080607332
SHEF-UETlahore,128,62,0.488950991988253,2,0.665834704462651
SHEF-UETlahore,421,6,-1.31375948720405,4,0.355234233194714
SHEF-UETlahore,1366,35.5,-0.36811426993638,2,0.518165471197617
SHEF-UETlahore,316,53.5,0.210542518937538,2,0.617865935249481
SHEF-UETlahore,267,87,1.30779944213742,2,0.806919319795505
SHEF-UETlahore,668,51,0.128657673922622,2,0.603757473716196
SHEF-UETlahore,961,26,-0.672587396817704,2,0.465705856750747
SHEF-UETlahore,1391,60,0.42344311597632,2,0.654547935236023
SHEF-UETlahore,816,17.5,-0.943250382928529,2,0.419071606819235
SHEF-UETlahore,1425,48,-0.597497300847733,2,0.478643607690253
SHEF-UETlahore,783,49,-0.085855335206043,2,0.566797660980033
SHEF-UETlahore,259,99,1.05947603054047,2,0.764134097454404
SHEF-UETlahore,991,19,-1.32101336750048,2,0.353984415953067
SHEF-UETlahore,895,49.5,-0.065269368001136,2,0.570344548397149
SHEF-UETlahore,832,15.5,-1.46511513793483,2,0.329156204033255
SHEF-UETlahore,430,89,0.841479640478976,2,0.726574110829072
SHEF-UETlahore,179,90,0.854976867169269,2,0.728899633989449
SHEF-UETlahore,1717,48.5,-0.10644130241095,2,0.563250773562916
SHEF-UETlahore,1470,99,1.05025112796729,2,0.762544680229785
SHEF-UETlahore,205,49.5,-0.065269368001136,2,0.570344548397149
SHEF-UETlahore,1598,40,-0.687025309223726,2,0.463218256856478
SHEF-UETlahore,12,51.5,-0.03827491462055,2,0.574995594717902
SHEF-UETlahore,112,99.5,1.08006199774538,2,0.767680984871521
SHEF-UETlahore,1673,88,0.894030808747606,1,0.735628486347669
SHEF-UETlahore,180,90,0.951571005609882,1,0.745542453381511
SHEF-UETlahore,764,0,-1.63773785319252,1,0.299413936858654
SHEF-UETlahore,1842,98,1.18173179305898,1,0.785198321516875
SHEF-UETlahore,456,98,1.18173179305898,1,0.785198321516875
SHEF-UETlahore,215,19,-1.0911059830009,1,0.393596623680147
SHEF-UETlahore,1265,91.5,0.994726153256589,2,0.752977928656892
SHEF-UETlahore,246,74,0.491249430711677,1,0.666230717110781
SHEF-UETlahore,1631,74,0.491249430711677,1,0.666230717110781
SHEF-UETlahore,496,88,0.894030808747606,1,0.735628486347669
SHEF-UETlahore,1088,88,0.894030808747606,1,0.735628486347669
SHEF-UETlahore,483,99,1.21050189149012,1,0.790155305033796
SHEF-UETlahore,697,64,0.2035484464003,1,0.616660881941575
SHEF-UETlahore,709,18,-1.11987608143204,1,0.388639640163226
SHEF-UETlahore,1743,74,0.491249430711677,1,0.666230717110781
SHEF-UETlahore,840,80,0.663870021298504,1,0.695972618212304
SHEF-UETlahore,99,89,0.922800907178744,1,0.74058546986459
SHEF-UETlahore,262,100,1.23927198992126,1,0.795112288550717
SHEF-UETlahore,155,67,0.289858741693713,1,0.631531832492336
SHEF-UETlahore,431,89,0.922800907178744,1,0.74058546986459
SHEF-UETlahore,1138,91,0.980341104041019,1,0.750499436898431
SHEF-UETlahore,471,100,0.982166541867157,1,0.750813953209072
SHEF-UETlahore,1853,57.5,-0.037176022952237,2,0.575184929763096
SHEF-UETlahore,1217,99,0.958182010930231,1,0.746681505598578
SHEF-UETlahore,1340,100,0.982166541867157,1,0.750813953209072
SHEF-UETlahore,1204,37,-0.528858907159239,1,0.490469753747978
SHEF-UETlahore,1412,97,0.910212949056377,1,0.738416610377591
SHEF-UETlahore,1160,10,-1.17644124245627,1,0.378893668264652
SHEF-UETlahore,873,92,0.985067439336557,1,0.751313767312055
SHEF-UETlahore,403,13,-1.15461712782286,1,0.382653883988909
SHEF-UETlahore,941,12,-1.18170174259703,1,0.377987303187351
SHEF-UETlahore,1026,9,-1.26295558691954,1,0.363987560782674
SHEF-UETlahore,19,79,0.632967447272349,1,0.69064821689179
SHEF-UETlahore,1013,23,-0.883770980081162,1,0.429319692004497
SHEF-UETlahore,404,61,0.145444381337292,1,0.606649762463732
SHEF-UETlahore,602,61,0.145444381337292,1,0.606649762463732
SHEF-UETlahore,1338,98,1.14757512798158,1,0.779313252121408
SHEF-UETlahore,636,84,0.778950415023055,1,0.715800552279987
SHEF-UETlahore,849,13,-1.26372657358773,1,0.363854722578622
SHEF-UETlahore,865,13,-1.26372657358773,1,0.363854722578622
SHEF-UETlahore,524,51,-0.170462833204491,1,0.552220096221607
SHEF-UETlahore,648,80,0.663870021298504,1,0.695972618212304
SHEF-UETlahore,575,80,0.663870021298504,1,0.695972618212304
SHEF-UETlahore,1066,100,1.23927198992126,1,0.795112288550717
SHEF-UETlahore,232,25,-0.918485392414073,1,0.42333852478167
SHEF-UETlahore,225,23,-0.976025589276348,1,0.413424557747829
SHEF-UETlahore,1652,93,1.03788130090329,1,0.760413403932272
SHEF-UETlahore,342,97,1.15296169462785,1,0.780241337999956
SHEF-UETlahore,14,59,0.059697954244611,1,0.591875964356971
SHEF-UETlahore,1154,23.5,-0.961640540060777,2,0.41590304950629
SHEF-UETlahore,994,19,-1.0911059830009,1,0.393596623680147
SHEF-UETlahore,675,51,-0.304911784594578,1,0.529055029980936
SHEF-UETlahore,1619,1,-1.55948627683692,1,0.312896399391628
SHEF-UETlahore,29,100,0.924571217802914,1,0.740890487958457
SHEF-UETlahore,1679,94,0.774022278733833,1,0.71495145228774
SHEF-UETlahore,710,1,-1.55948627683692,1,0.312896399391628
SHEF-UETlahore,598,100,0.924571217802914,1,0.740890487958457
SHEF-UETlahore,1473,100,0.924571217802914,1,0.740890487958457
SHEF-UETlahore,78,100,0.924571217802914,1,0.740890487958457
SHEF-UETlahore,1865,1,-1.55948627683692,1,0.312896399391628
SHEF-UETlahore,1227,1,-1.55948627683692,1,0.312896399391628
SHEF-UETlahore,787,92,0.72383929904414,1,0.706305107064168
SHEF-UETlahore,1871,99,0.899479727958067,1,0.736567315346671
SHEF-UETlahore,1735,99,1.41232486523106,1,0.824928670740705
SHEF-UETlahore,307,44,-0.209088641792022,1,0.54556500962347
SHEF-UETlahore,413,100,1.4418051108133,1,0.830008010033746
SHEF-UETlahore,4,99,1.41232486523106,1,0.824928670740705
SHEF-UETlahore,1266,81,0.881680444750777,1,0.733500563465974
SHEF-UETlahore,324,99,1.41232486523106,1,0.824928670740705
SHEF-UETlahore,67,99,1.41232486523106,1,0.824928670740705
SHEF-UETlahore,1046,64,0.380516269852734,1,0.647151795484283
SHEF-UETlahore,1415,99,1.41232486523106,1,0.824928670740705
SHEF-UETlahore,1530,98,1.38284461964882,1,0.819849331447665
SHEF-UETlahore,587,19,-0.946094781347967,1,0.418581527297455
SHEF-UETlahore,1703,100,1.53465394900101,1,0.846005527788624
SHEF-UETlahore,1834,100,1.53465394900101,1,0.846005527788624
SHEF-UETlahore,1677,78,0.953745709530565,1,0.745917146972317
