SYS,SID,RAW.SCR,Z.SCR,N
Mediamill,1065,65,0.426487555048043,1
Mediamill,534,97,1.32851014338495,1
Mediamill,1290,97,1.32851014338495,1
Mediamill,120,77,0.764746025674382,1
Mediamill,1185,28,-0.616476062716503,1
Mediamill,1116,79,0.821122437445438,1
Mediamill,1852,2,-1.34936941574024,1
Mediamill,47,98,1.35669834927048,1
Mediamill,785,21,-0.813793503915201,1
Mediamill,1512,30,-0.560099650945446,1
Mediamill,1516,20,-0.841981709800729,1
Mediamill,636,31,-0.531911445059918,1
Mediamill,1701,2,-1.34936941574024,1
Mediamill,468,24,-1.87452084113577,1
Mediamill,691,94,0.506604049885247,1
Mediamill,328,98,0.642668329372162,1
Mediamill,1521,49,-1.02411909434255,1
Mediamill,376,17,-2.11263333023787,2
Mediamill,828,92,0.438571910141789,1
Mediamill,752,90,0.370539770398331,1
Mediamill,1500,25,-1.84050477126404,1
Mediamill,950,0,-1.28145471202784,1
Mediamill,1819,66,0.313115630993231,2
Mediamill,1291,100,1.13456095921621,1
Mediamill,709,64,0.264795317568348,1
Mediamill,708,28,-0.60497032407951,1
Mediamill,694,99,1.384886555156,1
Mediamill,321,97,1.32851014338495,1
Mediamill,634,3,-1.32118120985471,1
Mediamill,1473,3,-1.32118120985471,1
Mediamill,381,74,0.680181408017797,1
Mediamill,1187,37,-0.667746448199989,1
Mediamill,124,14,-1.28461120891547,1
Mediamill,230,64,0.056399140466007,1
Mediamill,855,100,0.334038772094121,1
Mediamill,988,98,0.260299528806235,1
Mediamill,1696,99.5,0.31560396127215,2
Mediamill,1370,98,0.260299528806235,1
Mediamill,70,99,0.297169150450178,1
Mediamill,831,99,0.297169150450178,1
Mediamill,772,100,1.50963558961556,1
Mediamill,765,92,1.27782974092219,1
Mediamill,1286,51,0.08982476636868,1
Mediamill,1092,6,-1.21408313253152,1
Mediamill,1726,99,0.297169150450178,1
Mediamill,1389,1,-3.31605377065621,1
Mediamill,59,100,0.334038772094121,1
Mediamill,791,99,0.297169150450178,1
Mediamill,97,0,-1.61088845782907,1
Mediamill,635,88,0.725223344234304,1
Mediamill,492,87,0.698676619210856,1
Mediamill,964,20,-0.673985151750793,1
Mediamill,1853,93,1.15776898368509,1
Mediamill,323,38,-0.005429105305801,1
Mediamill,395,70,1.01652012872728,1
Mediamill,584,13,-0.803826944394145,1
Mediamill,1128,8,-0.963506512211814,1
Mediamill,423,58,0.633289165964875,1
Mediamill,9,28,-0.616476062716503,1
